show_no,ring_no,ring_name,ring_day_no,date_text,class_no,event_id,event_name,time_text,entry_count,event_type,oc_id,live_flag
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29011,58760,236) Thoroughbred Hunter 3',,0,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29264,58761,270) USHJA Hunter 2'9,,19,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29263,58762,271) USHJA Hunter 2'9,,18,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29260,58763,274) USHJA Hunter 2'9,,14,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29312,58764,48) $350 Young Hunter 2'9,,2,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29313,58765,49) $350 Young Hunter 2'9,,2,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29316,58766,52) $150 Young Hunter 2'9,,2,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29317,58767,53) $350 Young Hunter 3',,4,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29318,58768,54) $350 Young Hunter 3',,4,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29321,58769,57) $150 Young Hunter 3' U/S,,4,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29322,58770,58) $350 Young Hunter 3'3,,2,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29323,58789,59) $350 Young Hunter 3'3,,3,1,0,0
14906,676,INDOOR 2,3895,"Wednesday, June 10, 2026",29326,58771,62) $150 Young Hunter 3'3,,2,1,0,0
14906,678,INDOOR 4,3907,"Wednesday, June 10, 2026",29061,58852,265) USHJA Hunter 2'6,,16,1,0,0
14906,678,INDOOR 4,3907,"Wednesday, June 10, 2026",29062,58853,266) USHJA Hunter 2'6,,14,1,0,0
14906,678,INDOOR 4,3907,"Wednesday, June 10, 2026",29046,58855,280) Baby Green Hunter 2'6,,5,1,0,0
14906,678,INDOOR 4,3907,"Wednesday, June 10, 2026",29047,58856,281) Baby Green Hunter 2'6',,5,1,0,0
14906,678,INDOOR 4,3907,"Wednesday, June 10, 2026",29065,58854,269) USHJA Hunter 2'6,,7,1,0,0
14906,678,INDOOR 4,3907,"Wednesday, June 10, 2026",29056,58857,260) USHJA Hunter 2'3,,12,1,0,0
14906,678,INDOOR 4,3907,"Wednesday, June 10, 2026",29057,58858,261) USHJA Hunter 2'3,,11,1,0,0
14906,737,JUMPER ANNEX,4293,"Wednesday, June 10, 2026",33485,62645,9019) Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,8:00am,0,1,0,0
14906,750,HUNTER 2,4295,"Wednesday, June 10, 2026",29408,62640,9013) Ticketed Schooling- Wednesday Hunter 2 8am- 3:00pm,8:00am,0,1,0,0
