show_no,focus_day,ring_no,ring_name,ring_day_no,class_no,event_name,entry_order,entry_no,horse,rider,trainer,order_status
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",29,143,Pmf Inventiv,Angela Swanson,Angela Swanson,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",30,145,Chutter Du Rouet Ps,Aaron Vale,Ben Taylor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",31,113,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",32,133,My Diamant,Laura Gaither,Laura Gaither,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",1,162,Hakatann De Lojou,Ashlee Bond,Ashlee Bond,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",2,146,Tulara Cascara,Aaron Vale,Ben Taylor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",3,120,Charly Brown 353,Maya Denis,Megan Wexler,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",4,108,Chriszi,David Cameron,David Cameron,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",5,154,Hagelin,Sharn L. Wordley,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",6,161,Jason Brown,Flavio Montenegro,Ben Taylor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",7,122,Feinschnitt,Dominique Gonzalez,Terry Gonzalez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",8,112,Fraxinus Des Coeuries,Juan J. Bancalari,Juan M. Bolanos,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",9,129,Mtm Can Talk To Me,Tracy Fenney,Michael J. Mccormick,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",10,142,Puccini Van Orti,Lia Screnci,Lia Screnci,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",11,151,Contigo Z,Samuel Parot,Samuel Parot,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",12,109,Elalisa,Maleah Lang Mcmahon,Maleah Lang Mcmahon,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",13,157,Verdini D'houtveld Z,Lauren Balcomb,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",14,127,Artic Jt Z,Captain Brian Cournane,Captain Brian Cournane,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",15,159,S&l Protector,Ciaran Flynn,Michael J. Mccormick,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",16,138,Cardozo 4,Tanner Korotkin,Alan Korotkin,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",17,155,Nimbus Rfb,Aaron Vale,Ben Taylor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",18,149,Quicksilver C,Luis Sabino Goncalves,Luis Sabino Goncalves,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",19,118,Comme Ci Comme Ca,Ashlee Bond,Ashlee Bond,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",20,126,Hendrick Des Forets,Jodie Camberg,Megan Wexler,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",21,153,Champion League,Sharn L. Wordley,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",22,133,My Diamant,Laura Gaither,Laura Gaither,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",23,107,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",24,140,Dorchester,Nora Nauss,Andrew C. Welles,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",25,116,Santiago Vh Netehof,Cormac Hanley,Thea N. Stinnett,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",26,152,Gradje O,Samuel Parot,Samuel Parot,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",27,115,Goliath De L’ Eldorado,Declan Egan,Declan Egan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",28,156,Yalambis Ikon,Maddison Stephen,Maddison Stephen,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",29,131,Mtm Pablo,Tracy Fenney,Michael J. Mccormick,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",30,119,Diamond Rbc Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,28941,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",31,113,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,1,1565,Diabolo De La Roque,Antonio J. Martinez,Antonio J. Martinez,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,2,1112,Cavendish,Wilton J. Porter,Wilton J. Porter,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,3,3007,Del’arkan,Ryan Baldwin,Debbie L. Mccarthy-Connor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,4,1587,Dominance Z,Captain Brian Cournane,Captain Brian Cournane,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,5,2952,Glenara Chacco Dp,Brian Murphy,Brian Murphy,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,6,2934,Jalanne,Jelmer Hoekstra,Jelmer Hoekstra,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,7,1700,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,8,2362,Constantin De Hus,John Michael Durr,John Michael Durr,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,9,1907,Wild Kat,Jamie Alnwick,Scott Keach,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,10,2020,Kannador,Clark Montgomery,Molly A. Kenney,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,11,1696,Kinmar Candy Hero,Declan Egan,Declan Egan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,12,1341,Modena Lc,Juan J. Bancalari,Juan J. Bancalari,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,13,2124,Spy,Paul O'Shea,Davide Troncanetti,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,14,2961,Evolene De Carles,Vicente Guillen,Vicente Guillen,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,15,1784,Storiall Blue,Stella Stinnett,Thea N. Stinnett,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29134,645) $1000 1.35m Jumper II.1,16,2185,Inka Malpic,Rebecca Conway,Conan Conway,Class Ordered By: Custom
