class_name
High Performance Conformation Hunter-Model
$500 High Performance Conformation Hunter
$500 High Performance Conformation Hunter-Handy
$200 High Performance Conformation Hunter U/S
Green Conformation Hunter-Model
$400 Green Conformation Hunter
$400 Green Conformation Hunter-Handy
$150 Green Conformation Hunter U/S
$700 High Performance Hunter 4'
$700 High Performance Hunter-Handy 4'
$300 High Performance Hunter U/S 4'
"$600 Green Hunter 3'9"""
"$600 Green Hunter 3'9"" (Incentive Score)"
"$600 Green Hunter 3'9""-Handy"
"$200 Green Hunter 3'9"" U/S"
"$600 Green Hunter 3'6"""
"$600 Green Hunter 3'6"" (Incentive Score)"
"$600 Green Hunter 3'6""-Handy"
"$200 Green Hunter 3'6"" U/S"
"$350 Green Hunter 3'3"""
"$350 Green Hunter 3'3"" (Incentive Score)"
"$150 Green Hunter 3'3"" U/S"
"$350 Green Hunter 3'0"""
"$350 Green Hunter 3'0"" (Incentive Score)"
"$150 Green Hunter 3'0"" U/S"
"$400 Performance Hunter 3'6"""
"$400 Performance Hunter 3'6""-Handy"
"$150 Performance Hunter 3'6"" U/S"
"$350 Performance Hunter 3'3"""
"$350 Performance Hunter 3'3""-Handy"
"$150 Performance Hunter 3'3"" U/S"
"$350 Young Hunter 2'9"""
"$150 Young Hunter 2'9"" U/S"
$350 Young Hunter 3'
$150 Young Hunter 3' U/S
"$350 Young Hunter 3'3"""
"$150 Young Hunter 3'3"" U/S"
"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs"
"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs (1st rnd Classic)"
"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs-Handy"
"$350 Amateur Owner Hunter 3'6"" 18-35 Yrs U/S"
"$600 Amateur Owner Hunter 3'6"" 36+"
"$600 Amateur Owner Hunter 3'6"" 36+ (1st rnd Classic)"
"$600 Amateur Owner Hunter 3'6"" 36+-Handy"
"$350 Amateur Owner Hunter 3'6"" 36+ U/S"
"$400 Amateur Owner Hunter 3'3"" 18-35"
"$400 Amateur Owner Hunter 3'3"" 18-35 Years (1st rnd Classic"
"$400 Amateur Owner Hunter 3'3"" 18-35 Years-Handy"
"$200 Amateur Owner Hunter 3'3"" 18-35 Years U/S"
"$400 Amateur Owner Hunter 3'3"" 36+"
"$400 Amateur Owner Hunter 3'3"" 36+ (1st rnd Classic)"
"$400 Amateur Owner Hunter 3'3"" 36+-Handy"
"$200 Amateur Owner Hunter 3'3"" 36+ U/S"
"$600 Junior Hunter 3'6"" Small 15/U"
"$600 Junior Hunter 3'6"" Small 15U (1st rnd Classic)"
"$600 Junior Hunter 3'6"" Small 15/U-Handy"
"$350 Junior Hunter 3'6"" Small 15/U U/S"
"$600 Junior Hunter 3'6"" Small 16-17"
"$600 Junior Hunter 3'6"" Small 16-17 (1st rnd Classic)"
"$600 Junior Hunter 3'6"" Small 16-17-Handy"
"$350 Junior Hunter 3'6"" Small 16-17 U/S"
"$600 Junior Hunter 3'6"" Large 15/U"
"$600 Junior Hunter 3'6"" Large 15U (1st rnd Classic)"
"$600 Junior Hunter 3'6"" Large 15/U-Handy"
"$350 Junior Hunter 3'6"" Large 15/U U/S"
"$600 Junior Hunter 3'6"" Large 16-17"
"$600 Junior Hunter 3'6"" Large 16-17 (1st rnd Classic)"
"$600 Junior Hunter 3'6"" Large 16-17-Handy"
"$350 Junior Hunter 3'6"" Large 16-17 U/S"
"$400 Junior Hunter 3'3"" 15 & U"
"$400 Junior Hunter 3'3"" 15 & U (1st rnd Classic)"
"$400 Junior Hunter 3'3"" 15 & U- Handy"
"$200 Junior Hunter 3'3"" 15 & U U/S"
"$400 Junior Hunter 3'3"" 16-17"
"$400 Junior Hunter 3'3"" 16-17 (1st rnd Classic)"
"$400 Junior Hunter 3'3"" 16-17 - Handy"
"$200 Junior Hunter 3'3"" 16-17 U/S"
"$250 Green Pony Conf Hunter- Small 2'3"""
"$250 Green Pony Hunter Sm 2'3"" (1st rnd Classic)"
"$250 Green Pony Hunter Sm 2'3"""
"$100 Green Pony Hunter Sm 2'3"" U/S"
"$250 Green Pony Conf Hunter- Med 2'6"""
"$250 Green Pony Hunter Med 2'6"" (1st rnd Classic)"
"$250 Green Pony Hunter Med 2'6"""
