class_oog_key,ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source_endpoint,source_payload
28941|155,,670,,,28941,,,,,17,155,Nimbus Rfb,Aaron Vale,Ben Taylor,class_oog.php,
28941|149,,670,,,28941,,,,,18,149,Quicksilver C,Luis Sabino Goncalves,Luis Sabino Goncalves,class_oog.php,
28941|118,,670,,,28941,,,,,19,118,Comme Ci Comme Ca,Ashlee Bond,Ashlee Bond,class_oog.php,
28941|126,,670,,,28941,,,,,20,126,Hendrick Des Forets,Jodie Camberg,Megan Wexler,class_oog.php,
28941|153,,670,,,28941,,,,,21,153,Champion League,Sharn L. Wordley,Sharn L. Wordley,class_oog.php,
28941|133,,670,,,28941,,,,,22,133,My Diamant,Laura Gaither,Laura Gaither,class_oog.php,
28941|107,,670,,,28941,,,,,23,107,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,class_oog.php,
28941|140,,670,,,28941,,,,,24,140,Dorchester,Nora Nauss,Andrew C. Welles,class_oog.php,
28941|116,,670,,,28941,,,,,25,116,Santiago Vh Netehof,Cormac Hanley,Thea N. Stinnett,class_oog.php,
28941|152,,670,,,28941,,,,,26,152,Gradje O,Samuel Parot,Samuel Parot,class_oog.php,
28941|115,,670,,,28941,,,,,27,115,Goliath De L’ Eldorado,Declan Egan,Declan Egan,class_oog.php,
28941|156,,670,,,28941,,,,,28,156,Yalambis Ikon,Maddison Stephen,Maddison Stephen,class_oog.php,
28941|131,,670,,,28941,,,,,29,131,Mtm Pablo,Tracy Fenney,Michael J. Mccormick,class_oog.php,
28941|119,,670,,,28941,,,,,30,119,Diamond Rbc Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,class_oog.php,
28941|113,,670,,,28941,,,,,31,113,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,class_oog.php,
29134|1565,,670,,,29134,,,,,1,1565,Diabolo De La Roque,Antonio J. Martinez,Antonio J. Martinez,class_oog.php,
29134|1112,,670,,,29134,,,,,2,1112,Cavendish,Wilton J. Porter,Wilton J. Porter,class_oog.php,
29134|3007,,670,,,29134,,,,,3,3007,Del’arkan,Ryan Baldwin,Debbie L. Mccarthy-Connor,class_oog.php,
29134|1587,,670,,,29134,,,,,4,1587,Dominance Z,Captain Brian Cournane,Captain Brian Cournane,class_oog.php,
29134|2952,,670,,,29134,,,,,5,2952,Glenara Chacco Dp,Brian Murphy,Brian Murphy,class_oog.php,
29134|2934,,670,,,29134,,,,,6,2934,Jalanne,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php,
29134|1700,,670,,,29134,,,,,7,1700,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,class_oog.php,
29134|2362,,670,,,29134,,,,,8,2362,Constantin De Hus,John Michael Durr,John Michael Durr,class_oog.php,
