get_rings_key,show_no,ring_no,ring_day_no,class_no,class_text,class_number,entry_no,entry_text,total,n_to_go,n_gone,time_text,timestamp_value,elapsed,status_type,source_payload
14906|675|3889|29072,14906,675,3889,29072,"246) USHJA Hunter 3'3""",246,,"#1876, Churchill Blue<br>In ring at 9:42am",42,37,5,9:42am,1781098936,126,X,
14906|676|3895|29066,14906,676,3895,29066,275) USHJA Hunter 3',275,,"#2603, Dominus Z<br>In ring at 9:44am",39,13,26,9:44am,1781099052,10,X,
14906|678|3907|29062,14906,678,3907,29062,"266) USHJA Hunter 2'6""",266,,"#2974, St. Nick<br>In ring at 9:43am",51,34,17,9:43am,1781098999,63,X,
14906|683|4182|29159,14906,683,4182,29159,627) 1.00m Jumper II.1,627,,"#1096, Cold Play<br>In ring at 9:43am",45,41,4,9:43am,1781099028,34,X,
14906|737|4293|33485,14906,737,4293,33485,9019) Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,9019,,"#1683, Bakham Du Very Z<br>In ring at 9:43am",18,13,5,9:43am,1781099026,36,X,
