get_orders_key,show_no,ring_no,ring_day_no,class_text,ring_name,day_text,entry_text,total,n_to_go,n_gone,time_text,timestamp,elapsed
"14906|670|3860|2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",14906,670,3860,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",WEC GRAND ARENA,"Wednesday, June 10, 2026","#154, Hagelin<br>In ring at 10:10am",24,20,3,10:10am,1781100604,60
"14906|675|3889|246) USHJA Hunter 3'3""",14906,675,3889,"246) USHJA Hunter 3'3""",INDOOR 1,"Wednesday, June 10, 2026","#1749, Coffee<br>In ring at 10:01am",42,31,11,10:01am,1781100118,546
"14906|676|3895|33) $350 Green Hunter 3'0""",14906,676,3895,"33) $350 Green Hunter 3'0""",INDOOR 2,"Wednesday, June 10, 2026","#2608, Vincent Van Gough<br>In ring at 10:06am",38,6,32,10:06am,1781100389,275
14906|684|4174|636) $500 1.20m Jumper II.1,14906,684,4174,636) $500 1.20m Jumper II.1,INDOOR 6,"Wednesday, June 10, 2026","#1902, Born To Be Wild<br>In ring at 10:07am",56,51,5,10:07am,1781100433,231
14906|683|4182|627) 1.00m Jumper II.1,14906,683,4182,627) 1.00m Jumper II.1,INDOOR 5,"Wednesday, June 10, 2026","#1685, Hh Hyyerr Calling<br>In ring at 10:10am",44,29,15,10:10am,1781100643,21
14906|737|4293|9019) Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,14906,737,4293,9019) Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,JUMPER ANNEX,"Wednesday, June 10, 2026","#1482, Kokomo 97<br>In ring at 10:04am",30,21,9,10:04am,1781100276,388
