show_no,ring_day_no,ring_no,ring_name,date_text,class_no,event_id,event_name,class_number,class_payout,class_name,time_text,time,dow,focus_day,iso_date,entry_count,event_type,oc_id,live_flag,source
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29066,58754,275) USHJA Hunter 3',275,,USHJA Hunter 3',8:00 am,08:00:00,WED,2026-06-10,2026-06-10,11,1,0,1,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29067,58755,276) USHJA Hunter 3',276,,USHJA Hunter 3',8:00 am,08:00:00,WED,2026-06-10,2026-06-10,11,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29302,58756,33) $350 Green Hunter 3'0,33,$350,Green Hunter 3'0,8:00 am,08:00:00,WED,2026-06-10,2026-06-10,8,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29303,58757,34) $350 Green Hunter 3'0,34,$350,Green Hunter 3'0,8:00 am,08:00:00,WED,2026-06-10,2026-06-10,8,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29306,58758,37) $150 Green Hunter 3'0,37,$150,Green Hunter 3'0,10:00 am,10:00:00,WED,2026-06-10,2026-06-10,8,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29264,58761,270) USHJA Hunter 2'9,270,,USHJA Hunter 2'9,10:30 am,10:30:00,WED,2026-06-10,2026-06-10,21,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29263,58762,271) USHJA Hunter 2'9,271,,USHJA Hunter 2'9,10:30 am,10:30:00,WED,2026-06-10,2026-06-10,20,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29260,58763,274) USHJA Hunter 2'9,274,,USHJA Hunter 2'9,12:45 pm,12:45:00,WED,2026-06-10,2026-06-10,12,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29312,58764,48) $350 Young Hunter 2'9,48,$350,Young Hunter 2'9,1:15 pm,13:15:00,WED,2026-06-10,2026-06-10,4,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29313,58765,49) $350 Young Hunter 2'9,49,$350,Young Hunter 2'9,1:15 pm,13:15:00,WED,2026-06-10,2026-06-10,4,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29316,58766,52) $150 Young Hunter 2'9,52,$150,Young Hunter 2'9,1:45 pm,13:45:00,WED,2026-06-10,2026-06-10,4,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29317,58767,53) $350 Young Hunter 3',53,$350,Young Hunter 3',2:00 pm,14:00:00,WED,2026-06-10,2026-06-10,4,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29318,58768,54) $350 Young Hunter 3',54,$350,Young Hunter 3',2:00 pm,14:00:00,WED,2026-06-10,2026-06-10,4,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29321,58769,57) $150 Young Hunter 3' U/S,57,$150,Young Hunter 3' U/S,2:30 pm,14:30:00,WED,2026-06-10,2026-06-10,4,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29322,58770,58) $350 Young Hunter 3'3,58,$350,Young Hunter 3'3,2:45 pm,14:45:00,WED,2026-06-10,2026-06-10,3,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29323,58789,59) $350 Young Hunter 3'3,59,$350,Young Hunter 3'3,2:45 pm,14:45:00,WED,2026-06-10,2026-06-10,3,1,0,0,update_schedule.php
14906,3895,676,INDOOR 2,"Wednesday, June 10, 2026",29326,58771,62) $150 Young Hunter 3'3,62,$150,Young Hunter 3'3,,,WED,2026-06-10,2026-06-10,3,1,0,0,update_schedule.php
14906,3907,678,INDOOR 4,"Wednesday, June 10, 2026",29061,58852,265) USHJA Hunter 2'6,265,,USHJA Hunter 2'6,8:30 am,08:30:00,WED,2026-06-10,2026-06-10,21,1,0,0,update_schedule.php
14906,3907,678,INDOOR 4,"Wednesday, June 10, 2026",29062,58853,266) USHJA Hunter 2'6,266,,USHJA Hunter 2'6,8:30 am,08:30:00,WED,2026-06-10,2026-06-10,20,1,0,1,update_schedule.php
14906,3907,678,INDOOR 4,"Wednesday, June 10, 2026",29046,58855,280) Baby Green Hunter 2'6,280,,Baby Green Hunter 2'6,8:30 am,08:30:00,WED,2026-06-10,2026-06-10,7,1,0,0,update_schedule.php
14906,3907,678,INDOOR 4,"Wednesday, June 10, 2026",29047,58856,281) Baby Green Hunter 2'6',281,,Baby Green Hunter 2'6',8:30 am,08:30:00,WED,2026-06-10,2026-06-10,7,1,0,0,update_schedule.php
14906,3907,678,INDOOR 4,"Wednesday, June 10, 2026",29065,58854,269) USHJA Hunter 2'6,269,,USHJA Hunter 2'6,11:45 am,11:45:00,WED,2026-06-10,2026-06-10,11,1,0,0,update_schedule.php
14906,3907,678,INDOOR 4,"Wednesday, June 10, 2026",29056,58857,260) USHJA Hunter 2'3,260,,USHJA Hunter 2'3,12:15 pm,12:15:00,WED,2026-06-10,2026-06-10,12,1,0,0,update_schedule.php
14906,3907,678,INDOOR 4,"Wednesday, June 10, 2026",29057,58858,261) USHJA Hunter 2'3,261,,USHJA Hunter 2'3,12:15 pm,12:15:00,WED,2026-06-10,2026-06-10,11,1,0,0,update_schedule.php
14906,4293,737,JUMPER ANNEX,"Wednesday, June 10, 2026",33485,62645,9019) Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,9019,,Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,8:48am,08:48:00,WED,2026-06-10,2026-06-10,1,1,0,1,update_schedule.php
14906,4295,750,HUNTER 2,"Wednesday, June 10, 2026",29408,62640,9013) Ticketed Schooling- Wednesday Hunter 2 8am- 3:00pm,9013,,Ticketed Schooling- Wednesday Hunter 2 8am- 3:00pm,8:00am,08:00:00,WED,2026-06-10,2026-06-10,3,1,0,0,update_schedule.php
