ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source
,670,,,28941,,,,,17,155,Nimbus Rfb,Aaron Vale,Ben Taylor,class_oog.php
,670,,,28941,,,,,18,149,Quicksilver C,Luis Sabino Goncalves,Luis Sabino Goncalves,class_oog.php
,670,,,28941,,,,,19,118,Comme Ci Comme Ca,Ashlee Bond,Ashlee Bond,class_oog.php
,670,,,28941,,,,,20,126,Hendrick Des Forets,Jodie Camberg,Megan Wexler,class_oog.php
,670,,,28941,,,,,21,153,Champion League,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
,670,,,28941,,,,,22,133,My Diamant,Laura Gaither,Laura Gaither,class_oog.php
,670,,,28941,,,,,23,107,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,class_oog.php
,670,,,28941,,,,,24,140,Dorchester,Nora Nauss,Andrew C. Welles,class_oog.php
,670,,,28941,,,,,25,116,Santiago Vh Netehof,Cormac Hanley,Thea N. Stinnett,class_oog.php
,670,,,28941,,,,,26,152,Gradje O,Samuel Parot,Samuel Parot,class_oog.php
,670,,,28941,,,,,27,115,Goliath De L’ Eldorado,Declan Egan,Declan Egan,class_oog.php
,670,,,28941,,,,,28,156,Yalambis Ikon,Maddison Stephen,Maddison Stephen,class_oog.php
,670,,,28941,,,,,29,131,Mtm Pablo,Tracy Fenney,Michael J. Mccormick,class_oog.php
,670,,,28941,,,,,30,119,Diamond Rbc Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,class_oog.php
,670,,,28941,,,,,31,113,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
,670,,,29134,,,,,1,1565,Diabolo De La Roque,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,670,,,29134,,,,,2,1112,Cavendish,Wilton J. Porter,Wilton J. Porter,class_oog.php
,670,,,29134,,,,,3,3007,Del’arkan,Ryan Baldwin,Debbie L. Mccarthy-Connor,class_oog.php
,670,,,29134,,,,,4,1587,Dominance Z,Captain Brian Cournane,Captain Brian Cournane,class_oog.php
,670,,,29134,,,,,5,2952,Glenara Chacco Dp,Brian Murphy,Brian Murphy,class_oog.php
,670,,,29134,,,,,6,2934,Jalanne,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
,670,,,29134,,,,,7,1700,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,class_oog.php
,670,,,29134,,,,,8,2362,Constantin De Hus,John Michael Durr,John Michael Durr,class_oog.php
,670,,,29134,,,,,9,1907,Wild Kat,Jamie Alnwick,Scott Keach,class_oog.php
,670,,,29134,,,,,10,2020,Kannador,Clark Montgomery,Molly A. Kenney,class_oog.php
,670,,,29134,,,,,11,1696,Kinmar Candy Hero,Declan Egan,Declan Egan,class_oog.php
,670,,,29134,,,,,12,1341,Modena Lc,Juan J. Bancalari,Juan J. Bancalari,class_oog.php
,670,,,29134,,,,,13,2124,Spy,Paul O'Shea,Davide Troncanetti,class_oog.php
,670,,,29134,,,,,14,2961,Evolene De Carles,Vicente Guillen,Vicente Guillen,class_oog.php
,670,,,29134,,,,,15,1784,Storiall Blue,Stella Stinnett,Thea N. Stinnett,class_oog.php
,670,,,29134,,,,,16,2185,Inka Malpic,Rebecca Conway,Conan Conway,class_oog.php
,670,,,29134,,,,,17,1919,Carla,Selcuk Koksalan,Selcuk Koksalan,class_oog.php
,670,,,29134,,,,,18,1995,Camino Imperio Egípcio,Ali Arbabi,Sharn L. Wordley,class_oog.php
,670,,,29134,,,,,19,1882,Kara J D'alve Z,Alexandria Beneson,Thea N. Stinnett,class_oog.php
,670,,,29134,,,,,20,1962,Isla De Coco,Anne W. Eldridge,Lauren E. Hough,class_oog.php
,670,,,29134,,,,,21,2174,Komet 306,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,670,,,29134,,,,,22,2094,Gold Du Rouet,Taylor St Jacques,Andrew C. Welles,class_oog.php
,670,,,29134,,,,,23,2367,Khadiri,Jake Evans,Jake Evans,class_oog.php
,670,,,29134,,,,,24,2081,Rsk Quality Cruise,Khloe Kerins,Darragh Kerins,class_oog.php
,670,,,29134,,,,,25,1225,Cardline Kdw Z,Megan Wexler,Megan Wexler,class_oog.php
,670,,,29134,,,,,26,1047,Sandenal,Tanner Korotkin,Alan Korotkin,class_oog.php
,670,,,29134,,,,,27,1181,Kentucky N,Wilton J. Porter,Wilton J. Porter,class_oog.php
,670,,,29134,,,,,28,2618,Quina Blue Ps,Timothy Maddrix,Timothy Maddrix,class_oog.php
,670,,,29134,,,,,29,2932,Dakota Z,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
,670,,,29134,,,,,30,2875,Kawir Ms,Jared P. Petersen,Jared P. Petersen,class_oog.php
,670,,,29134,,,,,31,2880,Valentine Car,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
,670,,,29134,,,,,32,1002,Balou's Paul Ps,Diego Gaspar De Goes,Juan Benítez,class_oog.php
,670,,,29134,,,,,33,1695,I Jump D'authuit,Declan Egan,Declan Egan,class_oog.php
,670,,,29134,,,,,34,2950,Denison Park Combat,Elizabeth Schumann,Brian Murphy,class_oog.php
,670,,,29134,,,,,35,2534,Callisto De Fetan Z,Robert Mendoza,Robert Mendoza,class_oog.php
,670,,,29134,,,,,36,1017,Défi De La Roque,Juan Benítez,Juan Benítez,class_oog.php
,670,,,29134,,,,,37,2617,Istina Van De Kapel,Georgia Bouzaid,David Cameron,class_oog.php
,670,,,29134,,,,,38,1323,Uncle John’s Band,Camille Maynard,Camille Maynard,class_oog.php
,670,,,29134,,,,,39,2189,Indianapolis,Ivy Nyberg,Ivy Nyberg,class_oog.php
,670,,,29134,,,,,40,1916,Hhf Levison's Pride,Bryce P. Richardson,Bryce P. Richardson,class_oog.php
,670,,,29134,,,,,41,2566,Tough Enough,Spencer Brittan,Spencer Brittan,class_oog.php
,670,,,29134,,,,,42,2157,Streya,Jacqueline Steffens Daly,Jacqueline Steffens Daly,class_oog.php
,670,,,29134,,,,,43,1574,Valdes,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,670,,,29134,,,,,44,2864,Dominator Touch Z,Kalli Core,Bobby Boulger,class_oog.php
,670,,,29134,,,,,45,2027,Lagegonda Fz,Clark Montgomery,Clark Montgomery,class_oog.php
,670,,,29134,,,,,46,1837,Os Quincy,Rebecca Warth,Rebecca Warth,class_oog.php
,670,,,29134,,,,,47,1649,Chacoons Gisa Blue Z,Kyle Dewar,Kyle Dewar,class_oog.php
,670,,,29134,,,,,48,3008,Mon-Ami,Debbie L. Mccarthy-Connor,Debbie L. Mccarthy-Connor,class_oog.php
,670,,,29134,,,,,49,2955,Cameron 38,Jamie M. Stryker,Kirk Webby,class_oog.php
,670,,,29134,,,,,50,1182,Lupina Colada,Wilton J. Porter,Wilton J. Porter,class_oog.php
,670,,,29134,,,,,51,2874,Dropshot Z,Jordan Petersen,Jared P. Petersen,class_oog.php
,670,,,29134,,,,,52,1086,It Is West,Rebecca Conway,Conan Conway,class_oog.php
,670,,,29134,,,,,53,1035,Ideal,Grace Lyons,Alan Korotkin,class_oog.php
,670,,,29134,,,,,54,2292,Icarus,Declan Egan,Declan Egan,class_oog.php
,670,,,29134,,,,,55,2879,Mick Jagger,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
,670,,,29134,,,,,56,1709,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,class_oog.php
,670,,,29134,,,,,57,1044,Peridoni 20,Elisabeth Rotsaert,Alan Korotkin,class_oog.php
,670,,,29134,,,,,58,1996,Thor Jr,Ali Arbabi,Sharn L. Wordley,class_oog.php
,670,,,29134,,,,,59,1038,Kindly,Tanner Korotkin,Alan Korotkin,class_oog.php
,670,,,29134,,,,,60,1742,Mason,Aidan Murphy,Candice King,class_oog.php
,670,,,29134,,,,,61,1223,Ledoux,Megan Wexler,Megan Wexler,class_oog.php
,670,,,29134,,,,,62,1684,Gelano,Jessica Collins,Jessica Collins,class_oog.php
,670,,,29134,,,,,63,1481,Limerick,Taylor Manning,Taylor Manning,class_oog.php
,670,,,29134,,,,,64,1567,Octavius Scf,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,670,,,29134,,,,,65,1066,Lufrieda Vdl,Clara Vidal,Daniela Roy,class_oog.php
,670,,,29134,,,,,66,1037,Insider Bh,Victoria Rotsaert,Alan Korotkin,class_oog.php
,670,,,29134,,,,,67,2132,Goliath,Addison Reed,Addison Reed,class_oog.php
,670,,,29134,,,,,68,2953,Ivanhoe,Elizabeth Schumann,Brian Murphy,class_oog.php
,670,,,29134,,,,,69,2931,Bellissima Dh Z,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
,670,,,29134,,,,,70,2394,Bambina,Elin Mossberg,Patrick R. Wilcher,class_oog.php
,670,,,29172,,,,,1,2135,Orisco,Addison Reed,Addison Reed,class_oog.php
,670,,,29172,,,,,2,1246,Redbull 33 Vdh,Brittni A. Raflowitz,Brittni A. Raflowitz,class_oog.php
,670,,,29172,,,,,3,2199,Tobias Van Kreyel Mc,Lauren Balcomb,Sharn L. Wordley,class_oog.php
,670,,,29172,,,,,4,1334,Classical Touch,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
,670,,,29172,,,,,5,3046,Dolittle 32,Bruno Diniz Das Neves,Bruno Diniz Das Neves,class_oog.php
,670,,,29172,,,,,6,1462,Pavarotti Van De Schutskooi,Cormac Hanley,Thea N. Stinnett,class_oog.php
,670,,,29172,,,,,7,2463,Eq Scorpio,Diego Farje,Sharn L. Wordley,class_oog.php
,670,,,29172,,,,,8,1831,Umtiti Van De Barlebuis,Lia Screnci,Lia Screnci,class_oog.php
,670,,,29172,,,,,9,2635,Tugano Van Klapscheut,Addison Reed,Raishun Burch,class_oog.php
,670,,,29172,,,,,10,2713,Superman Eh,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
,670,,,29172,,,,,11,1787,Tarantino De Rie,Robert Mendoza,Hanna Pieri,class_oog.php
,670,,,29172,,,,,12,1449,Curacao D'elsendam Z,Taylor St Jacques,Taylor St Jacques,class_oog.php
,670,,,29172,,,,,13,2204,5o1 Stakkatol's Dream,Jacob Fletcher,Jacob Fletcher,class_oog.php
,670,,,29172,,,,,14,1923,Olaf,Selcuk Koksalan,Selcuk Koksalan,class_oog.php
,670,,,29172,,,,,15,1327,Online,Clark Montgomery,Clark Montgomery,class_oog.php
,670,,,29172,,,,,16,1993,Copperfield Ghv Z,Molly Frei,Sven Frei,class_oog.php
,670,,,29172,,,,,17,2133,O'Malley Rfb,Addison Reed,Addison Reed,class_oog.php
,670,,,29172,,,,,18,2320,Mtm Good Question,Tracy Fenney,Michael J. Mccormick,class_oog.php
,670,,,29172,,,,,19,1296,Calou Us,Tanner Korotkin,Alan Korotkin,class_oog.php
,670,,,29172,,,,,20,2197,King William,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
,670,,,29172,,,,,21,2568,Nasia’s Girl Keros,Hanna R. Egan,Hanna R. Egan,class_oog.php
,670,,,29172,,,,,22,2881,Don Cor Z,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,670,,,29172,,,,,23,1342,Only Love B,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
,670,,,29172,,,,,24,1860,Crusader,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
,670,,,29172,,,,,25,1782,Cash For Roses,Bruno Diniz Das Neves,Bruno Diniz Das Neves,class_oog.php
,670,,,29172,,,,,26,2796,Santa Rosa Fiona,Priscilla Broger,Priscilla Broger,class_oog.php
,670,,,29172,,,,,27,2134,O-Toulon K,Addison Reed,Addison Reed,class_oog.php
,684,,,29164,,,,,1,1025,Dodicci,Tanner Korotkin,Alan Korotkin,class_oog.php
,684,,,29164,,,,,2,1042,Maiki,Tanner Korotkin,Alan Korotkin,class_oog.php
,684,,,29164,,,,,3,1045,Qastaar Van't Heike,Tanner Korotkin,Alan Korotkin,class_oog.php
,684,,,29164,,,,,4,1064,Locinthe Vdl,Clara Vidal,Daniela Roy,class_oog.php
,684,,,29164,,,,,5,1067,Noah,Clara Vidal,Daniela Roy,class_oog.php
,684,,,29164,,,,,6,1085,Conthargos Gold,Rebecca Conway,Conan Conway,class_oog.php
,684,,,29164,,,,,7,1108,Cali Blue Ps,Jessica Cross,Jessica Cross,class_oog.php
,684,,,29164,,,,,8,1109,Odilon,Soleil Katsur,Jessica Cross,class_oog.php
,684,,,29164,,,,,9,1224,Lord Cornet,Megan Wexler,Megan Wexler,class_oog.php
,684,,,29164,,,,,10,1241,Balou Blue Z,Brittni A. Raflowitz,Brittni A. Raflowitz,class_oog.php
,684,,,29164,,,,,11,1346,Britney Ps,Cullen Drescher,Derek Reed,class_oog.php
,684,,,29164,,,,,12,1347,Oscars Afterparty,Cullen Drescher,Derek Reed,class_oog.php
,684,,,29164,,,,,13,1425,Categorico Ec Z,Devin A. Seek,Stefano Baruzzo,class_oog.php
,684,,,29164,,,,,14,1519,Mtm Clarcona,Anna Mead,Stephen Dicarlo,class_oog.php
,684,,,29164,,,,,15,1563,Herlich,Bowers A. Cone,Stephen Dicarlo,class_oog.php
,684,,,29164,,,,,16,1595,Levano,Sarah E. Turner,Ben Taylor,class_oog.php
,684,,,29164,,,,,17,1679,Tarzan Z,Ana Cristina Rodriguez,Juan A. Rodriguez Silva,class_oog.php
,684,,,29164,,,,,18,1682,Allegra Van Het Eikenhof Z,Aria Collins,Jessica Collins,class_oog.php
,684,,,29164,,,,,19,1744,Diatoon Blue Ps,Madison Rose,Madison Rose,class_oog.php
,684,,,29164,,,,,20,1767,Gotham De Chalusse,Robert Mendoza,Robert Mendoza,class_oog.php
,684,,,29164,,,,,21,1877,Daham,Jelmer Hoekstra,Tara G. Bostwick,class_oog.php
,684,,,29164,,,,,22,1878,Futur Du Pomiez,Jelmer Hoekstra,Tara G. Bostwick,class_oog.php
,684,,,29164,,,,,23,2003,Ancelotti,Ashley Romano,Ashley Romano,class_oog.php
,684,,,29164,,,,,24,2037,Fernhill Touch Of Grandeur,Kendall Stephens,Maya Denis,class_oog.php
,684,,,29164,,,,,25,2078,Lissino,Khloe Kerins,Darragh Kerins,class_oog.php
,684,,,29164,,,,,26,2108,Spice Of Life,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
,684,,,29164,,,,,27,2172,Castell 21,Amanda Gardiner,Megan Gardiner,class_oog.php
,684,,,29164,,,,,28,2173,Danilo Khr,Megan Gardiner,Megan Gardiner,class_oog.php
,684,,,29164,,,,,29,2291,Fleurescent,Declan Egan,Declan Egan,class_oog.php
,684,,,29164,,,,,30,2351,Otto Pilot,Jeannie M. Savegnago,Lauren Schweppe,class_oog.php
,684,,,29164,,,,,31,2365,Qiana,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
,684,,,29164,,,,,32,2573,Ballyforan,Patrick R. Wilcher,Patrick R. Wilcher,class_oog.php
,684,,,29164,,,,,33,2602,Fabian,Bonnie Silver,Annalee Bennett,class_oog.php
,684,,,29164,,,,,34,2702,For Jens Z,Patrick R. Wilcher,Dana G. Waters,class_oog.php
,684,,,29164,,,,,35,2709,Cfh Ricardo Two You,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
,684,,,29164,,,,,36,2733,Balisto,Maya Denis,Joachim Englert,class_oog.php
,684,,,29164,,,,,37,2821,Arianna Rv,John M. Struzzieri,Ryan Michael Genn,class_oog.php
,684,,,29164,,,,,38,2822,Chabluevara Ps,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,684,,,29164,,,,,39,2823,Conlando 55,John M. Struzzieri,Ryan Michael Genn,class_oog.php
,684,,,29164,,,,,40,2824,Dame Bruchetta Z,Kitt Ritter,Ryan Michael Genn,class_oog.php
,684,,,29164,,,,,41,2832,Lindy Hop,Clark Montgomery,Clark Montgomery,class_oog.php
,684,,,29164,,,,,42,2933,Iron Rock,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,684,,,29164,,,,,43,2935,Paseana,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
,684,,,29164,,,,,44,2965,Kurano Sp Z,Brooklyn Castellano,Brooklyn Castellano,class_oog.php
,684,,,29164,,,,,45,3001,Kilenka Gl,Alyssa Amberge,Alyssa Amberge,class_oog.php
,684,,,29128,,,,,1,1025,Dodicci,Carsyn Korotkin,Alan Korotkin,class_oog.php
,684,,,29128,,,,,2,1035,Ideal,Tanner Korotkin,Alan Korotkin,class_oog.php
,684,,,29128,,,,,3,1039,King Z,Tanner Korotkin,Alan Korotkin,class_oog.php
,684,,,29128,,,,,4,1076,Curioso Van Maarle Z,Hector Florentino,Benjamin J. Meredith,class_oog.php
,684,,,29128,,,,,5,1105,Legacy Rs,Lauren E. Hough,Benjamin J. Meredith,class_oog.php
,684,,,29128,,,,,6,1261,Com'on Kylie M,Sophia Ayers,Ben Taylor,class_oog.php
,684,,,29128,,,,,7,1288,Cash The First Des Rosiers Z,Angela Swanson,Angela Swanson,class_oog.php
,684,,,29128,,,,,8,1289,Engas Aurantiaco,Angela Swanson,Angela Swanson,class_oog.php
,684,,,29128,,,,,9,1336,Dorothea Mystic Rose,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
,684,,,29128,,,,,10,1340,Light Blue Mystic Rose,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
,684,,,29128,,,,,11,1347,Oscars Afterparty,Cullen Drescher,Derek Reed,class_oog.php
,684,,,29128,,,,,12,1440,Maeberry,Matthew Le Master,Matthew Le Master,class_oog.php
,684,,,29128,,,,,13,1566,Itos S,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,684,,,29128,,,,,14,1568,Picobella De Pot,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
,684,,,29128,,,,,15,1647,Dionte Van’t Merelsnest Z,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,class_oog.php
,684,,,29128,,,,,16,1660,Luau Cove Csf,Kyle Dewar,Kyle Dewar,class_oog.php
,684,,,29128,,,,,17,1666,F.ellouette,Sebastian Presa Tejada,Juan A. Rodriguez Silva,class_oog.php
,684,,,29128,,,,,18,1692,Cruise Mor,Lindsay Haselden,Lindsay Haselden,class_oog.php
,684,,,29128,,,,,19,1694,Hector Du Gue,Ryan Haselden,Declan Egan,class_oog.php
,684,,,29128,,,,,20,1766,Diatendra,Robert Mendoza,Robert Mendoza,class_oog.php
,684,,,29128,,,,,21,1853,Indiana De Riverland,Declan Egan,Declan Egan,class_oog.php
,684,,,29128,,,,,22,1880,Poliana Van Op De Berg,Alberto Sarmiento,Juan M. Bolanos,class_oog.php
,684,,,29128,,,,,23,1902,Born To Be Wild,Jamie Alnwick,Scott Keach,class_oog.php
,684,,,29128,,,,,24,1910,Mtm Cascadela,Evana Somareddy,Heather Dayner,class_oog.php
,684,,,29128,,,,,25,1913,Boleybawn Rolo,Bryce P. Richardson,Bryce P. Richardson,class_oog.php
,684,,,29128,,,,,26,1961,Fernhill Athletico Z,Lauren E. Hough,Lauren E. Hough,class_oog.php
,684,,,29128,,,,,27,2023,Joaquin Daloubet,Cristobal Castro,Cristobal Castro,class_oog.php
,684,,,29128,,,,,28,2029,Cobalto,Anne L. Bingler,Anne L. Bingler,class_oog.php
,684,,,29128,,,,,29,2078,Lissino,Khloe Kerins,Darragh Kerins,class_oog.php
,684,,,29128,,,,,30,2093,Dragonfly,Nora Nauss,Andrew C. Welles,class_oog.php
,684,,,29128,,,,,31,2152,Bluebelle,Andres A. Correa,Andres A. Correa,class_oog.php
,684,,,29128,,,,,32,2155,La Luciole,Jacqueline Steffens Daly,Jacqueline Steffens Daly,class_oog.php
,684,,,29128,,,,,33,2158,Calibur W,H Dougl Schreiber,H Dougl Schreiber,class_oog.php
,684,,,29128,,,,,34,2196,Kan So,Diego Farje,Sharn L. Wordley,class_oog.php
,684,,,29128,,,,,35,2294,Onetta Vd Fruitkorf Z,Declan Egan,Declan Egan,class_oog.php
,684,,,29128,,,,,36,2313,Mtm Bubba,Ellham Memari,Michael J. Mccormick,class_oog.php
,684,,,29128,,,,,37,2354,Kleopatra Hero Z,Luke Sassi,Luke Sassi,class_oog.php
,684,,,29128,,,,,38,2372,F Miss Gouvernante Vdl Z,Anthony Sauriol,Anthony Sauriol,class_oog.php
,684,,,29128,,,,,39,2402,Diabalou Ps,Lukene Arenas,Lukene Arenas,class_oog.php
,684,,,29128,,,,,40,2572,Geisha D’agenais,Cyril Chatel,Laura Gaither,class_oog.php
,684,,,29128,,,,,41,2630,Vamos,Ashlynn Meuchel,Ashlynn Meuchel,class_oog.php
,684,,,29128,,,,,42,2631,Zhardas Kil,Ashlynn Meuchel,Ashlynn Meuchel,class_oog.php
,684,,,29128,,,,,43,2710,Elwen M' Aurea,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
,684,,,29128,,,,,44,2711,Emyr De Launay,Mauricio Gruener,Juan E. Hidalgo,class_oog.php
,684,,,29128,,,,,45,2712,Il Vole Du Park,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
,684,,,29128,,,,,46,2717,Catoki's Fly Girl,Campbell Lear,Pamela Gomez,class_oog.php
,684,,,29128,,,,,47,2718,Lucas 274,Valeska Furlong,Pamela Gomez,class_oog.php
,684,,,29128,,,,,48,2722,de Lisle Apollo,Mia Smith,David Cameron,class_oog.php
,684,,,29128,,,,,49,2792,Helia Des Bergeries,Camille Maynard,Matt Martin,class_oog.php
,684,,,29128,,,,,50,2822,Chabluevara Ps,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,684,,,29128,,,,,51,2823,Conlando 55,John M. Struzzieri,Ryan Michael Genn,class_oog.php
,684,,,29128,,,,,52,2846,KS Barbie,Maleah Lang Mcmahon,Maleah Lang Mcmahon,class_oog.php
,684,,,29128,,,,,53,2873,Comme II Reality,Elizabeth Solomon,Elizabeth Solomon,class_oog.php
,684,,,29128,,,,,54,2885,Official First Hj Z,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
,684,,,29128,,,,,55,2929,Kaytaro,Declan Egan,Declan Egan,class_oog.php
,684,,,29128,,,,,56,2982,Cylano,Savannah Groselle,Savannah Groselle,class_oog.php
,684,,,29128,,,,,57,2993,Delando De St Leger,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
,684,,,29128,,,,,58,2997,Qatar,Hector Florentino,Hector Florentino,class_oog.php
,684,,,29128,,,,,59,3016,Dorado Sdn,Cooper Beisel,Ben Taylor,class_oog.php
,684,,,29128,,,,,60,3051,Undercover,Staisha Connors,Michael Connors,class_oog.php
,684,,,29131,,,,,1,1035,Ideal,Grace Lyons,Alan Korotkin,class_oog.php
,684,,,29131,,,,,2,1075,Chris B,Hector Florentino,Benjamin J. Meredith,class_oog.php
,684,,,29131,,,,,3,1275,Norton Vdl,Abby Grabowski,Ben Taylor,class_oog.php
