class_key,show_no,class_no,class_number,class_name,entry_count
14906|29205,14906,29205,503,Equitation 12-14 2'9',2
14906|29206,14906,29206,504,Equitation 12-14 2'9',2
14906|29207,14906,29207,505,Equitation 12-14 Flat,2
14906|29208,14906,29208,506,"Equitation 15-17 3'3""",6
14906|29209,14906,29209,507,"Equitation 15-17 3'3""",6
14906|29210,14906,29210,508,Equitation 15-17 Flat,6
14906|29211,14906,29211,509,Adult Equitation 3',3
14906|29212,14906,29212,510,Adult Equitation 3',3
14906|29213,14906,29213,511,Adult Equitation Flat,3
14906|29214,14906,29214,512,Children's Equitation 3',4
14906|29215,14906,29215,513,Children's Equitation 3',4
14906|29216,14906,29216,514,Children's Equitation Flat,3
14906|29217,14906,29217,515,"Low Children's Equitation 2'6""",7
14906|29218,14906,29218,516,"Low Children's Equitation 2'6""",7
14906|29219,14906,29219,517,Low Children's Equitation Flat,5
14906|29220,14906,29220,518,"Low Adult Equitation 2'6""",5
14906|29221,14906,29221,519,Low Adult Equitation 2'6',5
14906|29222,14906,29222,520,Low Adult Equitation Flat,3
14906|29493,14906,29493,521,"Pony Equitation 2'3""/2'6""/2'9""",3
14906|29494,14906,29494,522,"Pony Equitation 2'3""/2'6""/2'9""",2
14906|29495,14906,29495,523,Pony Equitation Flat,2
14906|29490,14906,29490,524,"Children's Pony Equitation 2'/2'6""",1
14906|29491,14906,29491,525,"Children's Pony Equitation 2'/2'6""",1
14906|29492,14906,29492,526,Children's Pony Equitation Flat,1
14906|29231,14906,29231,527,Platinum Performance USEF Talent Search 3'9',2
14906|29229,14906,29229,528,"USEF Hunter Seat Medal 3'6""",4
14906|29240,14906,29240,529,"WIHS Equitation Hunter Phase 3'6""",3
14906|29241,14906,29241,530,"WIHS Equitation Jumper Phase 3'6""",4
14906|29242,14906,29242,531,"WIHS Equitation Overall 3'6""",2
14906|29243,14906,29243,532,"ASPCA Maclay 3'6""",4
14906|29244,14906,29244,533,"NHS Medal 3'3""",6
14906|29232,14906,29232,534,Ariat Adult Medal 3',3
14906|29238,14906,29238,535,THIS Children's Medal 14/U 3',5
14906|29239,14906,29239,536,THIS Children's Medal 15-17 3',2
14906|29233,14906,29233,537,"USHJA 3'3"" Am Jumping Seat Medal",0
14906|29234,14906,29234,538,"USHJA Jumping Seat Medal 3'3""",4
14906|29235,14906,29235,539,"USHJA Hunter Seat Medal 3'3""",1
14906|29468,14906,29468,545,"USEF Pony Medal (Open Card) 2'9""/2'6""/2'3""",3
14906|29469,14906,29469,546,"WIHS Pony Equitation (Open Card) 2'9""/2'6""/2'3""",2
14906|29245,14906,29245,547,THIS Adult Medal 3',3
14906|29246,14906,29246,548,"World Equestrian Center Premier Cup 3'6""",4
14906|28950,14906,28950,549,"NCEA Medal 3'3""",5
14906|29140,14906,29140,600,$100 .65m Jumper Open IV.1,10
14906|29141,14906,29141,601,$100 .65m Jumper Open IV.1,6
14906|29142,14906,29142,602,$100 .65m Jumper Open IV.1,5
14906|29143,14906,29143,603,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,9
14906|29144,14906,29144,604,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,9
14906|29145,14906,29145,605,$100 .65m Jumper Long Creek Farm Junior/Amateur IV.1,9
14906|29391,14906,29391,606,.75m Jumper Open IV.1,12
14906|29392,14906,29392,607,.75m Jumper Open IV.1,10
14906|29393,14906,29393,608,.75m Jumper Open IV.1,11
14906|29397,14906,29397,609,.75m Jumper Junior/Amateur IV.1,14
14906|29398,14906,29398,610,.75m Jumper Junior/Amateur IV.1,12
14906|29399,14906,29399,611,.75m Jumper Junior/Amateur IV.1,14
14906|29152,14906,29152,618,.85m Jumper Open II.2d,29
14906|29153,14906,29153,619,.85m Jumper Open II.2d,16
14906|29154,14906,29154,620,.85m Jumper Open II.2b,12
14906|29156,14906,29156,621,.85m Jumper Junior/Amateur II.2d,18
14906|29157,14906,29157,622,.85m Jumper Junior/Amateur II.2d,14
14906|29158,14906,29158,623,.85m Jumper Junior/Amateur II.2b,15
14906|29394,14906,29394,624,.95m Jumper II.1,26
14906|29159,14906,29159,627,1.00m Jumper II.1,48
